"year","n","nvsl","nfh","catch.sub","catch.leg","catch.ovr","catch.slt","catch.tot","m.cpue.sub","m.cpue.leg","m.cpue.ovr","m.cpue.slt","m.cpue.tot","v.cpue.sub","v.cpue.leg","v.cpue.ovr","v.cpue.slt","v.cpue.tot"
1954,34,1,0,110,883,0,694,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,1,1,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,23,1,0,1,1611,0,939,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,68,1,10460.0225,2,1070,0,822,1072,0.0165534847795535,10.1661827224782,0,7.87415200875803,10.1827362072577,0.00941100950053242,97.1430483382508,0,53.9957844937653,98.2404740891611
1974,125,1,30264.575,2,720,0,557,796,0.00819454712025555,2.33794583996689,0,1.80010533457552,2.58286477160763,0.00447511934662114,7.76185142707588,0,5.47175260330828,8.10890278095332
1979,98,1,25619.625,5,1386,0,852,1472,0.0200715199241527,4.8928655340243,0,2.99235967476372,5.20283460937005,0.0150922001957378,45.0518102176872,0,20.6774230677528,51.235343048875
1984,76,1,12145.1625,114,2587,0,1823,2750,1.11192373999823,21.0826079584856,0,14.9487515083243,22.5008927775551,2.22095339674428,237.590345260824,0,135.555193624394,273.41286010469
1985,107,1,21998.98,66,2468,0,1983,2609,0.274452616617916,9.68364281855594,0,7.75227308435109,10.222433066614,0.176699279415568,60.4230589781735,0,41.2941410102197,67.3399197623089
1987,147,1,24221.645,41,1035,0,760,1098,0.148927331410018,3.90016005251231,0,2.88069865048202,4.12886181594464,0.14239147038917,17.0087768312732,0,9.35294808064998,19.2014625393391
1990,129,1,26292.025,349,616,7,495,975,1.19772715960538,2.15637008851847,0.0222790191894868,1.73474012422657,3.38639172414238,2.61313749288698,5.92439432203199,0.0119875012182459,4.10460375327783,15.0867524714834
1991,104,1,24143.295,529,396,7,363,938,1.9679313965466,1.44298915255978,0.024319641848634,1.32139443287314,3.45491418006949,6.26281982581437,3.98653090670168,0.0152505830531725,3.55542549044833,18.08204520073
1993,107,1,23046.1125,591,212,2,250,805,2.43799318041997,0.85866806437128,0.00697317246224463,1.0045455830916,3.30363441725349,6.66602024345827,1.15040275990617,0.00257690274813445,1.65161815851364,11.3237038199533
1994,132,1,28602.995,541,271,5,316,819,1.80073457626146,0.913681491676592,0.0153133765359026,1.06029044558451,2.73606135764187,2.79005406352244,0.834694103120354,0.00854413631843323,1.08147856926396,5.31888232742153
1997,112,1,25469.08,344,1011,9,1072,1366,1.24850186100143,3.64189995861774,0.0354449287078727,3.86742180686371,4.93490008875913,1.63601190338555,12.5343650326401,0.0149494266294687,13.9207986422761,20.7399795095038
1998,111,1,23043.85,253,1251,19,1274,1526,1.07912122369918,5.06133645074505,0.0790124285191778,5.16152231826402,6.23302590035378,2.32810444416367,18.0034929715166,0.0466451126489767,19.7408805770523,27.6667007988243
2001,191,1,41479.16875,205,976,29,930,1220,0.453741512369561,2.23843947958519,0.0611132660140052,2.13115915593233,2.78223338690549,0.403327484756914,6.70090933336919,0.0357652730842329,6.09725617789828,8.28982125937602
2002,135,1,29950.3575,128,443,6,406,581,0.45046728597526,1.50145713898708,0.0216449529371157,1.37289419239287,1.98915674084128,0.329099675581709,2.03195931552434,0.0142152030960317,1.77104338671375,3.00042880320374
2005,79,1,18011.17,126,156,4,167,291,0.677356673093829,0.843867176170739,0.0237491474493541,0.896674440568305,1.56928874532224,0.681694803445967,1.29282578454886,0.010921589743153,1.39963050269511,3.25049910994335
2006,212,2,39057.9866666667,307,423,22,439,753,0.762371517550738,1.07567995118141,0.0494597802150833,1.10616689422863,1.88995106677417,1.25399652683756,1.81540719644194,0.0235256655454327,1.79775533113466,4.85047992004364
2007,332,2,25076.6666666667,393,398,66,450,876,1.54801932204391,1.58881901117498,0.29290098993099,1.79857860766162,3.51115288782181,4.82155386303647,4.97751414570677,0.574635254207111,6.09641712436433,17.3758405583305
2008,249,1,19071.4583333333,224,331,62,370,617,1.15079837438108,1.69976304867243,0.314836837734458,1.90228314837507,3.16539826078796,2.5266060148996,4.64407915324092,0.438476276809848,5.42755524161836,11.1337807718357
