"Year","Facility","AFSub","CubicM","Green","White","GYCI","WYCI"
1980,1,89742.3542645355,110695399.138219,2,29,1.80675982522337,26.1980174657388
1980,2,23411.366765873,28877452.678369,1,5,3.46290931938419,17.3145465969209
1981,1,111058.576389722,136988532.805194,3,8,2.18996432662446,5.83990487099856
1981,2,13990.3870192308,17256862.5804808,2,0,11.5895922023636,0
1982,1,66646.3363192466,82206922.9230642,0,93,0,113.129158339909
1982,2,20440.3417552638,25212752.7482827,4,12,15.8649872147437,47.5949616442311
1983,1,132066.065962055,162900851.042876,2,50,1.22774066998189,30.6935167495472
1983,2,26015.6495692129,32089783.4306327,13,18,40.5113360397137,56.0926191319113
1984,1,84174.1796914571,103827167.165819,3,6,2.88941717460981,5.77883434921962
1984,2,28088.6286866575,34646761.7124183,4,5,11.5450905143793,14.4313631429741
1985,1,73903.6794418444,91158710.5179263,0,6,0,6.58192724086428
1985,2,64952.3246017871,80117393.3498124,8,5,9.98534733284447,6.24084208302779
1986,1,92773.0575929153,114433711.079709,1,7,0.87386836498158,6.11707855487106
1986,2,35017.7196581197,43193656.8438974,2,2,4.6303095087041,4.6303095087041
1987,1,156668.623424855,193247613.62209,1,7,0.517470814390273,3.62229570073191
1987,2,36118.0220182595,44550857.7990827,0,0,0,0
1988,1,197763.427334659,243937232.348756,0,1,0,0.409941520763959
1988,2,37229.3481897724,45921656.4051204,0,0,0,0
1989,1,232012.587723818,286182886.705576,6,2,2.09656142233717,0.698853807445725
1989,2,43891.2246260684,54138947.7517628,0,0,0,0
1990,1,190281.493851065,234708417.035412,4,1,1.70424224683706,0.426060561709265
1990,2,35645.0225712391,43967422.4411721,0,0,0,0
1991,1,174356.597601938,215065376.010038,8,2,3.71979913662467,0.929949784156168
1991,2,27354.3109702797,33740995.4956206,1,1,2.96375369283279,2.96375369283279
1992,1,386736.715578308,477032003.931531,4,0,0.838518163777985,0
1992,2,88923.397577584,109685232.443998,1,1,0.911699759136278,0.911699759136278
1993,1,521824.031318813,643659506.151129,5,5,0.776808227365171,0.776808227365171
1993,2,181204.220972222,223511782.484817,0,6,0,2.68442224087564
1994,1,454093.0507774,560114696.272907,4,11,0.714139447976752,1.96388348193607
1994,2,173562.575015133,214085965.029667,1,0,0.467102082035796,0
1995,1,426629.562712599,526239033.014736,8,67,1.52022170498629,12.7318567792602
1995,2,207460.311111111,255898144.549333,5,49,1.95390240472653,19.14824356632
1996,1,567246.755374805,699687527.819715,3,22,0.428762823506123,3.14426070571157
1996,2,202610.947805258,249916551.89883,5,18,2.0006678077185,7.20240410778661
1997,1,286751.952348021,353702798.182238,1,5,0.282723236892452,1.41361618446226
1997,2,212138.209047648,261668238.096093,3,8,1.14648993008403,3.05730648022407
1998,1,331498.784554712,408897120.772546,9,14,2.20104264441773,3.42384411353869
1998,2,183644.223073683,226521476.276927,3,23,1.32437773641049,10.1535626458138
1999,1,685551.824855363,845614464.922594,4,5,0.473028805197432,0.59128600649679
1999,2,208193.0867287,256802008.618117,1,6,0.389405053870537,2.33643032322322
2000,1,481214.7078883,593568717.88606,3,4,0.505417470564187,0.673889960752249
2000,2,197076.38482906,243089779.158949,0,0,0,0
2001,1,429131.610736783,529325259.211607,6,3,1.1335185494334,0.5667592747167
2001,2,208029.570199275,256600314.249402,2,2,0.779422272279879,0.779422272279879
2002,1,548815.393698402,676952811.819105,3,1,0.443162351588202,0.147720783862734
2002,2,216581.603928571,267149076.813814,0,0,0,0
2003,1,583483.023199759,719714639.456439,0,0,0,0
2003,2,228103.794477616,281361468.412249,0,2,0,0.710829386584524
2004,1,554824.183601036,684364533.988206,3,1,0.438362868180381,0.146120956060127
2004,2,221229.735685941,272882454.373895,0,1,0,0.366458152208582
2005,1,613217.277443607,756391247.38114,2,2,0.264413424523964,0.264413424523964
2005,2,224886.975105142,277393586.052691,1,0,0.360498602087379,0
2006,1,632996.744064807,780788823.869058,5,3,0.640378018632926,0.384226811179756
2006,2,222119.096640404,273979463.324005,28,5,10.219744086033,1.82495430107732
2007,1,526233.545619283,649098553.850473,0,12,0,1.84871772226507
2007,2,302208.823220049,372768539.265467,2,1,0.53652596432654,0.26826298216327
2008,1,352564.805647083,434881636.469563,0,1,0,0.229947626236453
2008,2,229594.319059927,283200000.674038,0,0,0,0
2009,1,640223.156321355,789702458.859265,0,2,0,0.253259943357531
2009,2,317472.387676373,391595840.751052,0,0,0,0
2010,1,956740.58046992,1180120371.19804,1,2,0.0847371187216113,0.169474237443223
2010,2,516258.103982169,636794046.099926,0,2,0,0.314073288255298
2011,1,653832.270478775,806489028.990159,0,1,0,0.123994247169381
2011,2,536042.454892081,661197647.260284,1,36,0.151240707546914,5.44466547168889
2012,1,623338.332896218,768875366.860827,0,4,0,0.52024036305536
2012,2,489229.516721951,603454824.286192,0,1,0,0.165712487456351
2013,1,379210.073350888,467748041.276854,0,0,0,0
2013,2,324503.239534698,400268255.90126,0,0,0,0
2014,1,368416.08008143,454433866.458842,0,0,0,0
2014,2,153929.07204914,189868431.791173,0,0,0,0
2015,1,346879.954371434,427869486.118077,1,0,0.233716128970234,0
2015,2,251547.953624299,310279369.836501,0,0,0,0
2016,1,919650.687252479,1134370729.71219,0,5,0,0.440773009126267
2016,2,547225.414449319,674991604.214946,0,1,0,0.148149990867376
2017,1,626855.778805546,773214066.041065,0,6,0,0.775981744708889
2017,2,600318.510600801,740480876.455876,1,19,0.135047376886524,2.56590016084395
2018,1,376570.368461478,464492018.089864,0,2,0,0.430577904917424
2018,2,435414.749046588,537075384.653985,0,1,0,0.186193601228672
